day,hour,count
2,1,127
4,1,141
1,1,134
5,1,174
3,1,131
6,1,333
7,1,311
2,2,79
4,2,99
1,2,117
5,2,123
3,2,92
6,2,257
7,2,293
2,3,55
4,3,73
1,3,107
5,3,89
3,3,66
6,3,185
7,3,262
2,4,39
4,4,67
1,4,59
5,4,83
3,4,45
6,4,180
7,4,220
2,5,48
4,5,57
1,5,73
5,5,76
3,5,72
6,5,168
7,5,199
2,6,129
4,6,102
1,6,129
5,6,140
3,6,117
6,6,148
7,6,193
2,7,314
4,7,284
1,7,367
5,7,270
3,7,310
6,7,179
7,7,192
2,8,806
4,8,811
1,8,850
5,8,609
3,8,846
6,8,208
7,8,144
2,9,1209
4,9,1214
1,9,1205
5,9,960
3,9,1073
6,9,286
7,9,152
2,10,750
4,10,808
1,10,610
5,10,655
3,10,684
6,10,482
7,10,253
2,11,591
4,11,593
1,11,573
5,11,695
3,11,622
6,11,676
7,11,326
2,12,653
4,12,679
1,12,639
5,12,736
3,12,687
6,12,858
7,12,402
2,13,738
4,13,749
1,13,631
5,13,908
3,13,888
6,13,880
7,13,507
2,14,792
4,14,847
1,14,752
5,14,1033
3,14,942
6,14,983
7,14,636
2,15,906
4,15,1031
1,15,954
5,15,1199
3,15,1014
6,15,1125
7,15,712
2,16,1101
4,16,1158
1,16,1029
5,16,1364
3,16,1068
6,16,1062
7,16,736
2,17,1303
4,17,1426
1,17,1270
5,17,1455
3,17,1407
6,17,883
7,17,666
2,18,1549
4,18,1653
1,18,1350
5,18,1502
3,18,1507
6,18,830
7,18,652
2,19,998
4,19,1070
1,19,787
5,19,1027
3,19,1019
6,19,575
7,19,519
2,20,661
4,20,756
1,20,596
5,20,730
3,20,648
6,20,494
7,20,486
2,21,431
4,21,539
1,21,430
5,21,509
3,21,457
6,21,443
7,21,421
2,22,352
4,22,428
1,22,362
5,22,462
3,22,390
6,22,379
7,22,324
2,23,329
4,23,381
1,23,293
5,23,393
3,23,313
6,23,374
7,23,288
2,24,211
4,24,249
1,24,204
5,24,417
3,24,211
6,24,379
7,24,203
